case_id	sequence_id	step	scenario	source	workstreams	blockers	role_lifecycles	validation_groups	dependency_conflict_edges	overlap_edges	high_risk_gates	authorization_domains	projection	selection_basis	edge_keys	expected_profile	expected_result	reason_code	expectation	authorization_keys
FX-SMALL-REPO	none	1	repo-grounded-small	examples/small-doc-task.md	1	0	0	1	0	0	0	0	reliable-single-file	fixture-measurement-full-counts	none	Compact	pass	OK-CLASSIFIED	Rendered by compact-feasibility.md; all triggered fields retained and optional role detail omitted.	none
FX-MEDIUM-REPO	none	1	repo-grounded-medium	examples/medium-worker-task.md	3	0	3	3	4	1	0	0	reliable-single-file	fixture-measurement-full-counts	dep:ws-plan>ws-write:approved-scope,dep:ws-write>ws-verify:worker-return,dep:ws-plan>ws-verify:consensus-baseline,conflict:ws-plan+ws-write:scope-wording-conflict,overlap:ws-write+ws-verify:examples/medium-worker-task.md	Standard	pass	OK-CLASSIFIED	Rendered by medium-standard.md; compact.workstreams exceeded and stable sections retain current role and validation state.	none
FX-TAKEOVER-STANDARD	none	1	takeover-direct-to-standard	examples/handoff-task.md	3	1	4	3	4	2	1	1	reliable-single-file	takeover-verification-full-counts	dep:ws-recover>ws-validate:handoff-recheck,dep:ws-validate>ws-gate:fresh-validation,conflict:ws-recover+ws-gate:old-gate-claim-conflict,dep:ws-recover>ws-gate:role-continuity,overlap:ws-recover+ws-validate:examples/handoff-task.md,overlap:ws-validate+ws-gate:commit-gate	Standard	pass	OK-CLASSIFIED	Fresh takeover selects Standard directly; prior Compact or gate state is evidence only.	auth:owner:repository:commit:main:pending:fresh-validation-and-gate-review
FX-ABOVE-STANDARD	none	1	above-standard-workstreams	synthetic:above-standard-workstreams	6	0	0	1	0	0	0	1	reliable-single-file	fixture-measurement-full-counts	none	hierarchical-required	pass	OK-CLASSIFIED	standard.workstreams exceeded; preserve facts and use qualitative rollover safety.	gen:auth:1
FX-DEP-COMPACT-MAX	none	1	dependency-conflict-compact-boundary	synthetic:dependency-conflict-10	2	0	0	1	10	0	0	1	reliable-single-file	fixture-measurement-full-counts	dep:ws-a>ws-b:reason-01,dep:ws-a>ws-b:reason-02,dep:ws-a>ws-b:reason-03,dep:ws-a>ws-b:reason-04,dep:ws-a>ws-b:reason-05,conflict:ws-a+ws-b:reason-06,conflict:ws-a+ws-b:reason-07,conflict:ws-a+ws-b:reason-08,conflict:ws-a+ws-b:reason-09,conflict:ws-a+ws-b:reason-10	Compact	pass	OK-CLASSIFIED	Ten unique normalized dependency/conflict tuples remain Compact.	gen:auth:1
FX-DEP-STANDARD-ENTRY	none	1	dependency-conflict-standard-entry	synthetic:dependency-conflict-11	2	0	0	1	11	0	0	1	reliable-single-file	fixture-measurement-full-counts	dep:ws-a>ws-b:reason-01,dep:ws-a>ws-b:reason-02,dep:ws-a>ws-b:reason-03,dep:ws-a>ws-b:reason-04,dep:ws-a>ws-b:reason-05,conflict:ws-a+ws-b:reason-06,conflict:ws-a+ws-b:reason-07,conflict:ws-a+ws-b:reason-08,conflict:ws-a+ws-b:reason-09,conflict:ws-a+ws-b:reason-10,conflict:ws-a+ws-b:reason-11	Standard	pass	OK-CLASSIFIED	Eleven unique normalized tuples exceed compact.dependency-conflict-edges.	gen:auth:1
FX-DEP-STANDARD-MAX	none	1	dependency-conflict-standard-boundary	synthetic:dependency-conflict-30	5	0	0	1	30	0	0	1	reliable-single-file	fixture-measurement-full-counts	dep:@standard-size-warning.md#dependency-and-conflict-edges	Standard	pass-with-warning	WARN-LINES-NONBLOCKING	Thirty unique tuples remain Standard; rendered ceiling case exceeds only the line warning.	gen:auth:1
FX-DEP-HIERARCHICAL	none	1	dependency-conflict-above-standard	synthetic:dependency-conflict-31	5	0	0	1	31	0	0	1	reliable-single-file	fixture-measurement-full-counts	gen:dep:31	hierarchical-required	pass	OK-CLASSIFIED	Thirty-one unique tuples exceed standard.dependency-conflict-edges.	gen:auth:1
FX-OVERLAP-COMPACT-MAX	none	1	overlap-compact-boundary	synthetic:overlap-5	2	0	0	1	0	5	0	1	reliable-single-file	fixture-measurement-full-counts	overlap:ws-a+ws-b:shared-01,overlap:ws-a+ws-b:shared-02,overlap:ws-a+ws-b:shared-03,overlap:ws-a+ws-b:shared-04,overlap:ws-a+ws-b:shared-05	Compact	pass	OK-CLASSIFIED	Five unique normalized overlap tuples remain Compact.	gen:auth:1
FX-OVERLAP-STANDARD-ENTRY	none	1	overlap-standard-entry	synthetic:overlap-6	2	0	0	1	0	6	0	1	reliable-single-file	fixture-measurement-full-counts	overlap:ws-a+ws-b:shared-01,overlap:ws-a+ws-b:shared-02,overlap:ws-a+ws-b:shared-03,overlap:ws-a+ws-b:shared-04,overlap:ws-a+ws-b:shared-05,overlap:ws-a+ws-b:shared-06	Standard	pass	OK-CLASSIFIED	Six unique normalized tuples exceed compact.overlap-edges.	gen:auth:1
FX-OVERLAP-STANDARD-MAX	none	1	overlap-standard-boundary	synthetic:overlap-20	5	0	0	1	0	20	0	1	reliable-single-file	fixture-measurement-full-counts	overlap:@standard-size-warning.md#overlap-edges	Standard	pass-with-warning	WARN-LINES-NONBLOCKING	Twenty unique overlap tuples remain Standard; rendered ceiling case exceeds only the line warning.	gen:auth:1
FX-OVERLAP-HIERARCHICAL	none	1	overlap-above-standard	synthetic:overlap-21	5	0	0	1	0	21	0	1	reliable-single-file	fixture-measurement-full-counts	gen:overlap:21	hierarchical-required	pass	OK-CLASSIFIED	Twenty-one unique tuples exceed standard.overlap-edges.	gen:auth:1
FX-PROMOTE	seq-promote	1	compact-to-standard-promotion	synthetic:material-scope-change	3	0	2	2	2	1	0	1	reliable-single-file	transition-measurement-full-counts	dep:ws-a>ws-c:new-scope,conflict:ws-a+ws-b:new-scope-conflict,overlap:ws-b+ws-c:shared-control	Standard	pass	OK-PROMOTED	First fresh material-state-change checkpoint promotes immediately because compact.workstreams is exceeded.	gen:auth:1
FX-EDGE-DEDUP	none	1	duplicate-edge-deduplication	examples/leader-state-profiles/duplicate-edge-deduplication.md	2	0	0	1	1	0	0	1	reliable-single-file	fixture-measurement-full-counts	dep:ws-a>ws-b:build-before-test	Compact	pass	OK-CLASSIFIED	Three identical normalized reports deduplicate to one tuple and do not inflate classification.	auth:fixture-owner:fixture:verify:edge-deduplication:pending:structural-validation
FX-DEMOTE-CP1	seq-demote	1	standard-to-compact-first-checkpoint	synthetic:stage-boundary-one	1	2	4	4	0	0	1	1	reliable-single-file	transition-measurement-full-counts	none	Standard	pass	OK-RETAIN-HYSTERESIS	First qualifying checkpoint retains Standard; no automatic demotion.	gen:auth:1
FX-DEMOTE-CP2	seq-demote	2	standard-to-compact-second-checkpoint	synthetic:rollover-refresh-two	1	1	4	3	0	0	1	1	reliable-single-file	transition-measurement-full-counts	none	Standard	pass	OK-DEMOTION-ELIGIBLE	Second distinct qualifying checkpoint makes demotion eligible but does not perform it.	gen:auth:1
FX-DEMOTE-DECISION	seq-demote	3	standard-to-compact-explicit-decision	synthetic:leader-transition-decision	1	1	4	3	0	0	1	1	reliable-single-file	transition-measurement-full-counts	none	Compact	pass	OK-DEMOTED-BY-DECISION	Explicit Leader decision after two qualifying checkpoints records demotion.	gen:auth:1
FX-HIER-DEMOTE-CP1	seq-hierarchical-demote	1	hierarchical-to-standard-first-checkpoint	examples/leader-state-profiles/hierarchical-demotion-sequence.md	4	8	12	12	24	16	2	2	reliable-single-file	transition-measurement-full-counts	gen:dep:24;gen:overlap:16	hierarchical-required	pass	OK-RETAIN-HYSTERESIS	Projection recovered and first qualifying checkpoint retains hierarchical-required.	auth:fixture-owner:fixture:verify:projection-recovery:pending:checkpoint-validation,auth:leader:fixture:demote:leader-state-profile:pending:two-checkpoint-evidence
FX-HIER-DEMOTE-CP2	seq-hierarchical-demote	2	hierarchical-to-standard-second-checkpoint	examples/leader-state-profiles/hierarchical-demotion-sequence.md	3	7	10	10	20	12	2	2	reliable-single-file	transition-measurement-full-counts	gen:dep:20;gen:overlap:12	hierarchical-required	pass	OK-DEMOTION-ELIGIBLE	Second distinct qualifying checkpoint makes Standard demotion eligible without mutation.	auth:fixture-owner:fixture:verify:projection-recovery:pending:checkpoint-validation,auth:leader:fixture:demote:leader-state-profile:pending:explicit-leader-decision
FX-HIER-DEMOTE-DECISION	seq-hierarchical-demote	3	hierarchical-to-standard-explicit-decision	examples/leader-state-profiles/hierarchical-demotion-sequence.md	3	7	10	10	20	12	2	2	reliable-single-file	transition-measurement-full-counts	gen:dep:20;gen:overlap:12	Standard	pass	OK-DEMOTED-BY-DECISION	Explicit Leader decision after both recovered-projection checkpoints records Standard.	auth:fixture-owner:fixture:verify:projection-recovery:granted:checkpoint-validation,auth:leader:fixture:demote:leader-state-profile:granted:explicit-leader-decision
FX-NEG-MISSING-FIELD	none	1	missing-applicable-field	examples/leader-state-profiles/negative-missing-applicable-field.md	1	0	1	1	0	0	1	1	reliable-single-file	fixture-measurement-full-counts	none	Compact	fail	ERR-MISSING-APPLICABLE-FIELD	Applicable authorization revocation is omitted; fail closed independently of size.	auth:owner:repository:commit:main:revoked:current-scope-change
FX-NEG-STALE-POINTER	none	1	stale-required-pointer	examples/leader-state-profiles/negative-stale-pointer.md	1	0	2	1	0	0	1	1	reliable-single-file	fixture-measurement-full-counts	none	Compact	fail	ERR-STALE-POINTER	Current Advisor finding points only to stale pre-change evidence.	auth:owner:repository:commit:main:pending:fresh-advisor-review
FX-NEG-ORPHAN-POINTER	none	1	orphan-current-pointer	examples/leader-state-profiles/negative-orphan-pointer.md	1	0	1	1	0	0	0	1	projection-failed	fixture-measurement-full-counts	none	hierarchical-required	fail	ERR-ORPHAN-POINTER	Claim index names a nonexistent current target; reclassification does not repair the semantic failure.	auth:owner:repository:validate:current-state:pending:restore-safe-projection
